Value,Label
en_GB,English - Great Britain
en_US,English - US
fr_CA,French - Canada
fr_FR,French - France
de_DE,German
hi_IN,Hindi - India
it_IT,Italian
ja_JP,Japanese
es_419,Latin American Spanish
pl_PL,Polish - Poland
pt_BR,Portuguese - Brazil
pt_PT,Portuguese - Portugal
pa_IN,Punjabi - India
ru_RU,Russian
yue_Hans,Simplified Chinese
cmn_Hans,Simplified Mandarin
es_MX,Spanish - Mexico
es_ES,Spanish - Spain
sv_SE,Swedish
yue_Hant,Traditional Cantonese
cmn_Hant,Traditional Mandarin
